Uniq Id,Selling Price,Item Sold,Product Name,Product Url,Category
18fb4d624ff2aad0986cc68ae0159f1c,$13.49,1402,"Ravensburger -Little Mermaids - 100 Piece Glitter Jigsaw Puzzle for Kids – Every Piece is Unique, Pieces Fit Together Perfectly",https://www.amazon.com/Ravensburger-Little-Mermaids-Together-Perfectly/dp/B06XBK3CYC?cm1=tx&cd1=pp&ref=3cdf752d67e4d69bf3e0c8f1003c6813&did=704b2c7b105a6f0533558227fc523aa5,Toys & Games | Puzzles | Jigsaw Puzzles
3465bac27a125210b460f5a9d88c059d,$5.99,1832,"Qualatex Officially Licensed Disney 12-Inch Latex Balloons, 6-Count, Winnie the Pooh 1st Birthday Assorted Colors",https://www.amazon.com/Winnie-Pooh-Birthday-Balloons-Count/dp/B002P6H77Q?cm1=tx&cd1=pp&ref=0b92f337cb3cd3ded482659727ee9d9a&did=adfd194880974359ffbd6e71e9e64a74,Home & Kitchen | Event & Party Supplies | Decorations | Balloons
7d7609a6f2f7c252c3a0623100fbab4b,$19.99,2858,Stamp Collecting T Shirt Gift Stamp Collector Hobby Shirt,https://www.amazon.com/Stamp-Collecting-Shirt-Gift-Collector/dp/B07PHXTXLD?cm1=tx&cd1=pp&ref=9b591aa6b5a8be86ece9d415db806955&did=eaee40dc6cc583a4ef0c65982c054d0b,""
aecef6ecb9acfb25698203a87f07b6f2,$39.90,420,"HANSA - Fox Papa, 12\"",https://www.amazon.com/HANSA-Hansa-Fox-Papa-29cm-H/dp/B07P94HQ6S?cm1=tx&cd1=pp&ref=9274326597c73e0ee10c37d2325ea6be&did=80c2ab31917909ffa1d6cb62b8f8c5a0,Toys & Games | Stuffed Animals & Plush Toys | Stuffed Animals & Teddy Bears
95bc76b3f193329483a3609903b55c7b,$10.14,502,DecoPac PAW Patrol Just Yelp for Help Cake Topper Set,https://www.amazon.com/DecoPac-Patrol-Just-Yelp-Topper/dp/B0124XD03E?cm1=tx&cd1=pp&ref=70e097f1e12df7445675e564efebe36d&did=e8df77259c76cb7e91ae9350ad04ed36,Toys & Games | Party Supplies | Cake & Cupcake Toppers | Cake Toppers
c852ca1be9d0c720996719fbd6ad121e,$11.99,1587,Rubie's Costume Men's Dc Super Villains Adult Riddler,https://www.amazon.com/Rubies-Super-Villains-Riddler-X-Large/dp/B00EC0RGU6?cm1=tx&cd1=pp&ref=41720f470011aabc9e08bddd186d49c3&did=65d59559332c441da3dd32cb519d7c73,"Clothing, Shoes & Jewelry | Costumes & Accessories | Men | Costumes & Cosplay Apparel | Costumes"
db861920adaf280079b3dec6526f1cf4,$14.99 $ 14 . 99,4477,"Constructive Playthings Geoworld Bugs World Collection, 12 Real Insects, Scientific Educational Toy",https://www.amazon.com/Constructive-Playthings-Geoworld-Collection-Educational/dp/B0035Y44SC?cm1=tx&cd1=pp&ref=aa8ee9b97de3a383a907cd642d31b64e&did=648df35a9a017b7324fa9e399d0c2819,Toys & Games | Learning & Education | Science Kits & Toys
a58ff925f7368e011bb6d3631cec8270,$11.78,3728,"Batman Warner Brothers Telescope with Tripod Kids Telescope For Young Scientists, Encourage Scientific Discovery, Educational Insights, Toys & Games, 2Piece, Black/ Yellow",https://www.amazon.com/Warner-Brothers-Batman-Telescope-Tripod/dp/B005OMBKEE?cm1=tx&cd1=pp&ref=371757e083f6afcd1aa4096e71dec530&did=cc0a70151d9b47eacbcf525fa6843d7c,Toys & Games | Kids' Electronics
ed4232b9da48cffcb902b14b5dc94e45,$17.99,3500,SportsLine Distributors NHL Team Pillow Pets,https://www.amazon.com/Fabrique-Innovations-Pillow-Pittsburgh-Penguins/dp/B005H039V0?cm1=tx&cd1=pp&ref=8f5a9cb537b7a0a725b2d6b0e39c4490&did=46b1daa5f53dcd496c85757d1a5e6f62,Sports & Outdoors | Fan Shop | Home & Kitchen | Bedding | Throw Pillows
ce5eb588853c96a1cf43a26ea67b86c6,$31.08,3747,Evil Hat Productions Karthun Lands of Conflict Role Playing Supplement Board Game,https://www.amazon.com/Evil-Hat-Productions-Conflict-Supplement/dp/161317134X?cm1=tx&cd1=pp&ref=6a53f85aa2d99f11a460a3a7b7f297c1&did=e3925f01ed7112971d7c8998d6f7cbc9,Toys & Games | Games & Accessories | Board Games
856a3c906cdbac83ae115655f21e0f92,$14.81,2191,"Twilight Sparkle Movie Classic Costume, Purple, Medium (7-8)",https://www.amazon.com/Twilight-Sparkle-Classic-Costume-Purple/dp/B01N4TYH9B?cm1=tx&cd1=pp&ref=09053004568702052db3071b94dd46fe&did=fee26ee9f156003a185fcb03394daef2,Toys & Games | Dress Up & Pretend Play | Costumes
fc09e6dcdf576cc558d01b96eb6e9fac,$28.76,3074,"Redcat Racing HX-3000MH-B 3000 Ni-Mh Battery 7.2V with Banana 4.0 Connector, Black",https://www.amazon.com/Redcat-Racing-Battery-Banana-Connector/dp/B07J3CBMTH?cm1=tx&cd1=pp&ref=c7d7597bb260ce92433e667b594f09a2&did=ed3b187c8cd7f5c2fd1d4ed221f6773f,""
dd60cb590dffd924d488fafbf68bf6fe,$157.48,1950,"Bandai Tamashii Nations Chogokin Cars Lightning McQueen \"Cars\" Statue",https://www.amazon.com/Tamashii-Nations-Chogokin-Lightning-McQueen/dp/B072FRGNRV?cm1=tx&cd1=pp&ref=32ba4648ceda8ecbac2fe6f04b5ffa63&did=66dbe76bc80aba5e2197bc63aa14c85b,Home & Kitchen | Home Décor | Home Décor Accents | Collectible Vehicles
f057b992ce606e787e4d3357ade4d28c,$6.00,4348,"Funko Pop Animation: Rocky&Bullwinkle Natasha Collectible Figure, Multicolor",https://www.amazon.com/Funko-Pop-Animation-Bullwinkle-Collectible/dp/B07DFDTKBG?cm1=tx&cd1=pp&ref=3d0afcf14aab95f6066a559529511141&did=6f5327baf89e358e44aa4e27a992b489,""
dc3a544717c84f0bc238e83b0d2f6197,$18.99,1802,"Great Eastern Entertainment Dragon Ball Z- Trunks 7\" Plush",https://www.amazon.com/Great-Eastern-Entertainment-Dragon-Trunks/dp/B07JV7MTVM?cm1=tx&cd1=pp&ref=c8242295b1fcdffeba9c1a56cba2c24f&did=c0b2167fbb97d0a6766a25a2b901e2ae,Toys & Games | Stuffed Animals & Plush Toys | Plush Pillows
4ba2f001fbd8364efb1e8dbe614ab117,$9.38,499,Lavender Big Party Pack Luncheon Napkins | Pack of 125 | Party Supply,https://www.amazon.com/Lavender-Party-Luncheon-Napkins-Supply/dp/B004UPYMY6?cm1=tx&cd1=pp&ref=fd9ff1480a98c8cac1779ba8c6a85136&did=b650c8149605a0f90eebfae879ffeb26,Toys & Games | Party Supplies | Party Tableware | Napkins
70abf00a0a298157ca652f8d446c6eed,$19.99,1943,Creativity for Kids 1846000 Creativity For Kids Holiday Snow globes - Makes 3 Christmas Snow globes for Kids (New Packaging),https://www.amazon.com/Creativity-Kids-Holiday-Snow-globes/dp/B00URVC0FU?cm1=tx&cd1=pp&ref=b40da011ab0c0ef745184e06a3849f3b&did=c95d4ec346efe44275158f50f9b5500a,Toys & Games | Arts & Crafts | Craft Kits
77c9fd92fbd51682b8122b134d7dea74,$38.80,299,Hot Wheels Monster Trucks Downhill Race & Go Playset,https://www.amazon.com/Hot-Wheels-Monster-Downhill-Playset/dp/B07NQ9WK4J?cm1=tx&cd1=pp&ref=89e91372ac5e59d5b8d90fe49a26ba9c&did=07cf11ef1c0a00b25a4698ce223cdaf6,Toys & Games | Play Vehicles | Vehicle Playsets
24d1774aca6b4cbc477808dcacf8d761,$59.99,1824,Circle Society Classic Adjustable Indoor & Outdoor Childrens Roller Skates - JoJo Rainbow - Sizes 3-7,https://www.amazon.com/Circle-Society-Classic-Adjustable-Childrens/dp/B07PYT5SY6?cm1=tx&cd1=pp&ref=87d31a30d8b409096331464e7ed381bf&did=cbc317103a44d9aad4a86d0ed5887e56,"Sports & Outdoors | Outdoor Recreation | Skates, Skateboards & Scooters | Inline & Roller Skating | Roller Skates | Roller Derby Skates"
e911d47b65257e25ce96fe33116d58f4,$5.37,1134,"Batman Cups, 9 oz., Party Favor",https://www.amazon.com/Batman-Cups-oz-Party-Favor/dp/B00KYAM52M?cm1=tx&cd1=pp&ref=979791780207ee08a7c684a96e2efc0c&did=c97cbc458e0cad068e38822dc808f7fc,Toys & Games | Party Supplies | Party Tableware | Cups
